Proteins,Shigella,Salmonella,Entry name,Status,Protein names,Length
B0QY89,1,1,B0QY89_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein),607
B1AMS2,0,1,B1AMS2_HUMAN,unreviewed,Septin 6, isoform CRA_b (Septin-6),431
B4DEH8,1,0,B4DEH8_HUMAN,unreviewed,Polyadenylate-binding protein 2 (cDNA FLJ57714, highly similar to Poly(A)-binding protein 2),168
B4DGU4,1,0,B4DGU4_HUMAN,unreviewed,Catenin beta-1 (cDNA FLJ57878, highly similar to Beta-catenin),774
B4DMR0,0,1,B4DMR0_HUMAN,unreviewed,cDNA FLJ60706, highly similar to Serine/threonine-protein kinase 24,342
B5MCF9,0,1,B5MCF9_HUMAN,unreviewed,Pescadillo homolog,571
B5ME19,1,0,EIFCL_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit C-like protein,914
B7ZLC4,0,1,B7ZLC4_HUMAN,unreviewed,AAK1 protein,863
B7ZLF4,0,1,B7ZLF4_HUMAN,unreviewed,KRI1 protein (Fragment),470
B8ZZQ6,1,0,B8ZZQ6_HUMAN,unreviewed,Prothymosin alpha,107
C9J0K6,1,0,C9J0K6_HUMAN,unreviewed,Sorcin,155
C9J9C1,1,0,C9J9C1_HUMAN,unreviewed,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Fragment),395
C9J9K3,0,1,C9J9K3_HUMAN,unreviewed,40S ribosomal protein SA (Fragment),263
C9JE12,1,0,C9JE12_HUMAN,unreviewed,Transmembrane and ubiquitin-like domain-containing protein 1 (Fragment),152
C9JFE4,1,0,C9JFE4_HUMAN,unreviewed,COP9 signalosome complex subunit 1 (G protein pathway suppressor 1, isoform CRA_b),471
C9JFR7,0,1,C9JFR7_HUMAN,unreviewed,Cytochrome c (Fragment),101
C9JG97,0,1,C9JG97_HUMAN,unreviewed,Angio-associated migratory cell protein,415
C9JKI3,1,0,C9JKI3_HUMAN,unreviewed,Caveolin (Fragment),138
D3YTB1,0,1,D3YTB1_HUMAN,unreviewed,60S ribosomal protein L32 (Fragment),133
D6RG19,0,1,D6RG19_HUMAN,unreviewed,Ribosomal protein L37,82
E5RI99,0,1,E5RI99_HUMAN,unreviewed,60S ribosomal protein L30 (Fragment),114
E7ETK0,0,1,E7ETK0_HUMAN,unreviewed,40S ribosomal protein S24,131
E7EVA0,1,0,E7EVA0_HUMAN,unreviewed,Microtubule-associated protein,2297
E7EW69,1,0,E7EW69_HUMAN,unreviewed,Septin-10,450
E9PAV3,1,1,NACAM_HUMAN,reviewed,Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC),2078
E9PF10,1,0,E9PF10_HUMAN,unreviewed,Nuclear pore complex protein Nup155,1327
E9PJM3,0,1,E9PJM3_HUMAN,unreviewed,F-box only protein 3,430
F8VUA2,0,1,F8VUA2_HUMAN,unreviewed,Charged multivesicular body protein 1a (Chromatin-modifying protein 1a),181
F8W1R7,1,0,F8W1R7_HUMAN,unreviewed,Myosin light polypeptide 6,145
F8W7C6,1,0,F8W7C6_HUMAN,unreviewed,60S ribosomal protein L10,163
G3V126,0,1,G3V126_HUMAN,unreviewed,V-type proton ATPase subunit H,443
G3V1L9,1,0,G3V1L9_HUMAN,unreviewed,Tight junction protein 1 (Zona occludens 1), isoform CRA_a (Tight junction protein ZO-1),1768
G3V295,0,1,G3V295_HUMAN,unreviewed,Proteasome subunit alpha type (EC 3.4.25.1),203
G5E9T8,1,0,G5E9T8_HUMAN,unreviewed,28 kDa Golgi SNARE protein (28 kDa cis-Golgi SNARE p28) (Golgi SNAP receptor complex member 1) (Fragment),255
H0Y4V9,1,0,H0Y4V9_HUMAN,unreviewed,La-related protein 4B (Fragment),339
H0YD73,1,0,H0YD73_HUMAN,unreviewed,26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5) (Fragment),221
H0YIN8,1,0,H0YIN8_HUMAN,unreviewed,Ankyrin repeat domain-containing protein 13A (Fragment),301
H0YJ92,0,1,H0YJ92_HUMAN,unreviewed,CDK-activating kinase assembly factor MAT1 (Fragment),169
H3BLV9,0,1,H3BLV9_HUMAN,unreviewed,SRSF protein kinase 1 (Fragment),671
H3BM14,0,1,H3BM14_HUMAN,unreviewed,NEDD8 ultimate buster 1 (NEDD8 ultimate buster-1, isoform CRA_d),625
H3BN98,1,0,H3BN98_HUMAN,unreviewed,40S ribosomal protein S15a (Fragment),237
H3BPN3,0,1,H3BPN3_HUMAN,unreviewed,Trafficking protein particle complex subunit 2-like protein,75
H7BXI1,1,0,H7BXI1_HUMAN,unreviewed,Extended synaptotagmin-2,866
H7BY58,1,0,H7BY58_HUMAN,,Deleted.,
H7C1E4,0,1,H7C1E4_HUMAN,unreviewed,AP-1 complex subunit sigma-1A (Fragment),191
J3KNN7,0,1,J3KNN7_HUMAN,unreviewed,BRCA1-associated protein,562
J3KQ32,0,1,J3KQ32_HUMAN,unreviewed,Obg-like ATPase 1,416
J3KQ48,0,1,J3KQ48_HUMAN,unreviewed,Aminoacyl-tRNA hydrolase (EC 3.1.1.29),180
J3QR09,1,1,J3QR09_HUMAN,unreviewed,Ribosomal protein L19,193
J3QRU1,1,0,J3QRU1_HUMAN,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),548
J3QRV5,0,1,J3QRV5_HUMAN,unreviewed,LLGL scribble cell polarity complex component 2,1019
K7EIG1,0,1,K7EIG1_HUMAN,unreviewed,Clustered mitochondria protein homolog (Fragment),1251
K7EM56,0,1,K7EM56_HUMAN,unreviewed,40S ribosomal protein S15,112
K7EP07,0,1,K7EP07_HUMAN,unreviewed,Tubulin-folding cofactor B (Fragment),169
K7ER00,0,1,K7ER00_HUMAN,unreviewed,Phenylalanine--tRNA ligase (EC 6.1.1.20),548
M0QYS1,0,1,M0QYS1_HUMAN,unreviewed,60S ribosomal protein L13a (Fragment),210
M0R0F0,0,1,M0R0F0_HUMAN,unreviewed,40S ribosomal protein S5 (Fragment),200
M0R2B7,0,1,M0R2B7_HUMAN,unreviewed,DNA polymerase (EC 2.7.7.7),1133
O00124,1,0,UBXN8_HUMAN,reviewed,UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6),270
O00139,1,0,KIF2A_HUMAN,reviewed,Kinesin-like protein KIF2A (Kinesin-2) (hK2),706
O00148,1,0,DX39A_HUMAN,reviewed,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),427
O00154,1,0,BACH_HUMAN,reviewed,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),380
O00161,1,1,SNP23_HUMAN,reviewed,Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23),211
O00165,0,1,HAX1_HUMAN,reviewed,HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1),279
O00186,1,1,STXB3_HUMAN,reviewed,Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C),592
O00193,1,1,SMAP_HUMAN,reviewed,Small acidic protein,183
O00203,1,1,AP3B1_HUMAN,reviewed,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),1094
O00214,1,0,LEG8_HUMAN,reviewed,Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),317
O00231,1,0,PSD11_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),422
O00232,1,1,PSD12_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),456
O00233,1,0,PSMD9_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),223
O00264,1,1,PGRC1_HUMAN,reviewed,Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA),195
O00267,1,0,SPT5H_HUMAN,reviewed,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),1087
O00268,1,0,TAF4_HUMAN,reviewed,Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135),1085
O00273,0,1,DFFA_HUMAN,reviewed,DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD),331
O00291,1,0,HIP1_HUMAN,reviewed,Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I),1037
O00299,1,1,CLIC1_HUMAN,reviewed,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),241
O00303,0,1,EIF3F_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),357
O00401,1,0,WASL_HUMAN,reviewed,Neural Wiskott-Aldrich syndrome protein (N-WASP),505
O00410,1,1,IPO5_HUMAN,reviewed,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),1097
O00418,1,1,EF2K_HUMAN,reviewed,Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase),725
O00425,1,1,IF2B3_HUMAN,reviewed,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3),579
O00429,1,1,DNM1L_HUMAN,reviewed,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),736
O00443,0,1,P3C2A_HUMAN,reviewed,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha),1686
O00458,1,0,IFRD1_HUMAN,reviewed,Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4),451
O00470,1,0,MEIS1_HUMAN,reviewed,Homeobox protein Meis1,390
O00471,1,0,EXOC5_HUMAN,reviewed,Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10),708
O00479,1,0,HMGN4_HUMAN,reviewed,High mobility group nucleosome-binding domain-containing protein 4 (Non-histone chromosomal protein HMG-17-like 3) (Non-histone chromosomal protein),90
O00483,0,1,NDUA4_HUMAN,reviewed,Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ) (CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit),81
O00487,1,0,PSDE_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1),310
O00499,1,1,BIN1_HUMAN,reviewed,Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1),593
O00505,1,1,IMA4_HUMAN,reviewed,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),521
O00512,0,1,BCL9_HUMAN,reviewed,B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog),1426
O00541,1,0,PESC_HUMAN,reviewed,Pescadillo homolog,588
O00559,1,1,RCAS1_HUMAN,reviewed,Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein),213
O00567,1,0,NOP56_HUMAN,reviewed,Nucleolar protein 56 (Nucleolar protein 5A),594
O00571,1,1,DDX3X_HUMAN,reviewed,ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2),662
O00712,1,1,NFIB_HUMAN,reviewed,Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein),420
O00762,0,1,UBE2C_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C),179
O00767,1,1,ACOD_HUMAN,reviewed,Acyl-CoA desaturase (EC 1.14.19.1) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase) (Stearoyl-CoA desaturase) (hSCD1),359
O14493,1,0,CLD4_HUMAN,reviewed,Claudin-4 (Clostridium perfringens enterotoxin receptor) (CPE-R) (CPE-receptor) (Williams-Beuren syndrome chromosomal region 8 protein),209
O14495,1,0,PLPP3_HUMAN,reviewed,Phospholipid phosphatase 3 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP),311
O14497,1,0,ARI1A_HUMAN,reviewed,AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD),2285
O14530,0,1,TXND9_HUMAN,reviewed,Thioredoxin domain-containing protein 9 (ATP-binding protein associated with cell differentiation) (Protein 1-4),226
O14545,1,1,TRAD1_HUMAN,reviewed,TRAF-type zinc finger domain-containing protein 1 (Protein FLN29),582
O14562,1,0,UBFD1_HUMAN,reviewed,Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog),309
O14579,1,0,COPE_HUMAN,reviewed,Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP),308
O14617,1,1,AP3D1_HUMAN,reviewed,AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin),1153
O14639,1,1,ABLM1_HUMAN,reviewed,Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin),778
O14646,1,0,CHD1_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1),1710
O14672,1,0,ADA10_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),748
O14686,0,1,KMT2D_HUMAN,reviewed,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.354) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2),5537
O14737,1,1,PDCD5_HUMAN,reviewed,Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19),125
O14744,1,1,ANM5_HUMAN,reviewed,Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed],637
O14745,1,1,NHRF1_HUMAN,reviewed,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1),358
O14763,1,0,TR10B_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262),440
O14763-2,1,0,TR10B_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262),
O14776,1,0,TCRG1_HUMAN,reviewed,Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150),1098
O14818,1,1,PSA7_HUMAN,reviewed,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7),248
O14828,1,1,SCAM3_HUMAN,reviewed,Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3),347
O14874,1,0,BCKD_HUMAN,reviewed,[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN),412
O14907,0,1,TX1B3_HUMAN,reviewed,Tax1-binding protein 3 (Glutaminase-interacting protein 3) (Tax interaction protein 1) (TIP-1) (Tax-interacting protein 1),124
O14908,1,1,GIPC1_HUMAN,reviewed,PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2),333
O14910,1,0,LIN7A_HUMAN,reviewed,Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1),233
O14936,1,0,CSKP_HUMAN,reviewed,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),926
O14939,1,1,PLD2_HUMAN,reviewed,Phospholipase D2 (PLD 2) (hPLD2) (EC 3.1.4.4) (Choline phosphatase 2) (PLD1C) (Phosphatidylcholine-hydrolyzing phospholipase D2),933
O14949,0,1,QCR8_HUMAN,reviewed,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),82
O14964,1,1,HGS_HUMAN,reviewed,Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110),777
O14972,1,0,VP26C_HUMAN,reviewed,Vacuolar protein sorting-associated protein 26C (Down syndrome critical region protein 3) (Down syndrome critical region protein A),297
O14974,1,1,MYPT1_HUMAN,reviewed,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit),1030
O14975,1,1,S27A2_HUMAN,reviewed,Very long-chain acyl-CoA synthetase (VLACS) (VLCS) (EC 6.2.1.-) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain-fatty-acid-CoA ligase),620
O14977,1,0,AZIN1_HUMAN,reviewed,Antizyme inhibitor 1 (AZI) (AZI1) (Ornithine decarboxylase antizyme inhibitor),448
O14979,1,0,HNRDL_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1),420
O14980,1,1,XPO1_HUMAN,reviewed,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),1071
O15014,1,1,ZN609_HUMAN,reviewed,Zinc finger protein 609,1411
O15018,1,0,PDZD2_HUMAN,reviewed,PDZ domain-containing protein 2 (Activated in prostate cancer protein) (PDZ domain-containing protein 3) [Cleaved into: Processed PDZ domain-containing protein 2],2839
O15020,1,0,SPTN2_HUMAN,reviewed,Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein),2390
O15027,1,1,SC16A_HUMAN,reviewed,Protein transport protein Sec16A (SEC16 homolog A) (p250),2357
O15037,1,0,KHNYN_HUMAN,reviewed,Protein KHNYN (KH and NYN domain-containing protein),678
O15047,1,0,SET1A_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.354) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1),1707
O15061,1,1,SYNEM_HUMAN,reviewed,Synemin (Desmuslin),1565
O15067,1,1,PUR4_HUMAN,reviewed,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase),1338
O15084,1,0,ANR28_HUMAN,reviewed,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK),1053
O15085,0,1,ARHGB_HUMAN,reviewed,Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),1522
O15126,1,1,SCAM1_HUMAN,reviewed,Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1),338
O15143,1,0,ARC1B_HUMAN,reviewed,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),372
O15144,1,1,ARPC2_HUMAN,reviewed,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),300
O15145,1,1,ARPC3_HUMAN,reviewed,Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC),178
O15155,1,0,BET1_HUMAN,reviewed,BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18),118
O15160,0,1,RPAC1_HUMAN,reviewed,DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40),346
O15162,1,0,PLS1_HUMAN,reviewed,Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (MmTRA1b),318
O15164,0,1,TIF1A_HUMAN,reviewed,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24),1050
O15173,1,0,PGRC2_HUMAN,reviewed,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),223
O15212,1,1,PFD6_HUMAN,reviewed,Prefoldin subunit 6 (Protein Ke2),129
O15231,1,0,ZN185_HUMAN,reviewed,Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A),689
O15234,1,1,CASC3_HUMAN,reviewed,Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz),703
O15258,1,0,RER1_HUMAN,reviewed,Protein RER1,196
O15260,1,0,SURF4_HUMAN,reviewed,Surfeit locus protein 4,269
O15269,1,0,SPTC1_HUMAN,reviewed,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),473
